size,threads,run,seconds,mbps,exit_code
500MB,32,16,19.258203194,25.96,0
500MB,32,17,18.842497830,26.53,0
500MB,32,18,16.737698737,29.87,0
500MB,32,19,16.739538416,29.86,0
500MB,32,20,17.339320280,28.83,0
500MB,32,21,17.840740328,28.02,0
500MB,32,22,17.341540167,28.83,0
500MB,32,23,19.355032617,25.83,0
500MB,32,24,16.846798721,29.67,0
500MB,32,25,16.839315035,29.69,0
500MB,32,26,17.244234414,28.99,0
500MB,32,27,16.339400668,30.60,0
500MB,32,28,15.835963133,31.57,0
500MB,32,29,15.338179659,32.59,0
500MB,32,30,15.838055081,31.56,0
500MB,32,31,15.736458789,31.77,0
500MB,32,32,15.234621495,32.81,0
500MB,32,33,15.736949878,31.77,0
500MB,32,34,15.741427885,31.76,0
500MB,32,35,15.738097566,31.77,0
500MB,32,36,15.737782517,31.77,0
500MB,32,37,15.836649220,31.57,0
500MB,32,38,16.238827456,30.79,0
500MB,32,39,15.735401927,31.77,0
500MB,32,40,15.838423370,31.56,0
500MB,32,41,15.736026711,31.77,0
500MB,32,42,16.237955903,30.79,0
500MB,32,43,16.337952226,30.60,0
500MB,32,44,15.838224634,31.56,0
500MB,32,45,15.735583347,31.77,0
500MB,32,46,16.839831909,29.69,0
500MB,32,47,18.342812505,27.25,0
500MB,32,48,22.353072510,22.36,0
500MB,32,49,18.845510725,26.53,0
500MB,32,50,19.348424242,25.84,0
500MB,32,51,18.344312008,27.25,0
500MB,32,52,15.738134779,31.76,0
500MB,32,53,15.737348420,31.77,0
500MB,32,54,16.237328973,30.79,0
500MB,32,55,15.340497708,32.59,0
500MB,32,56,15.334786715,32.60,0
500MB,32,57,15.837354626,31.57,0
500MB,32,58,15.735442564,31.77,0
500MB,32,59,15.234454281,32.82,0
500MB,32,60,15.335327481,32.60,0
500MB,32,61,15.836748661,31.57,0
500MB,32,62,15.235238030,32.81,0
500MB,32,63,15.234205566,32.82,0
500MB,32,64,16.239564857,30.78,0
500MB,32,65,15.337702452,32.59,0
500MB,32,66,15.735053724,31.77,0
500MB,32,67,15.233943930,32.82,0
500MB,32,68,15.234614190,32.81,0
500MB,32,69,15.234810831,32.81,0
500MB,32,70,15.334620287,32.60,0
500MB,32,71,15.736392592,31.77,0
500MB,32,72,15.234370689,32.82,0
500MB,32,73,15.836592704,31.57,0
500MB,32,74,15.735319842,31.77,0
500MB,32,75,16.340661299,30.59,0
500MB,32,76,16.337266533,30.60,0
500MB,32,77,16.339765526,30.60,0
500MB,32,78,17.239448740,29.00,0
500MB,32,79,15.736391266,31.77,0
500MB,32,80,16.840977446,29.68,0
500MB,32,81,17.342732146,28.83,0
500MB,32,82,16.338170043,30.60,0
500MB,32,83,17.241369365,29.00,0
500MB,32,84,15.745658516,31.75,0
500MB,32,85,17.239043083,29.00,0
500MB,32,86,16.839731404,29.69,0
500MB,32,87,16.841504836,29.68,0
500MB,32,88,16.839365934,29.69,0
500MB,32,89,17.339318368,28.83,0
500MB,32,90,17.841542501,28.02,0
500MB,32,91,17.841856783,28.02,0
500MB,32,92,17.839876679,28.02,0
500MB,32,93,18.241504324,27.41,0
500MB,32,94,17.340077511,28.83,0
500MB,32,95,15.838051024,31.56,0
500MB,32,96,16.237904795,30.79,0
500MB,32,97,18.744405777,26.67,0
500MB,32,98,15.838262453,31.56,0
500MB,32,99,18.242096754,27.40,0
500MB,32,100,19.750886000,25.31,0
10MB,16,1,1.217347976,8.21,0
10MB,16,2,1.317045928,7.59,0
10MB,16,3,1.218718082,8.20,0
10MB,16,4,1.218175324,8.20,0
10MB,16,5,1.216688120,8.21,0
10MB,16,6,1.215739379,8.22,0
10MB,16,7,1.216649186,8.21,0
10MB,16,8,1.217419232,8.21,0
10MB,16,9,1.219511980,8.20,0
10MB,16,10,1.216437657,8.22,0
10MB,16,11,.717244397,13.94,0
10MB,16,12,.715097964,13.98,0
10MB,16,13,.715543650,13.97,0
10MB,16,14,1.215266132,8.22,0
10MB,16,15,.716032308,13.96,0
10MB,16,16,.714864772,13.98,0
10MB,16,17,.715565587,13.97,0
10MB,16,18,.715700710,13.97,0
10MB,16,19,.716134484,13.96,0
10MB,16,20,.717943776,13.92,0
10MB,16,21,1.217377540,8.21,0
10MB,16,22,.716349121,13.95,0
10MB,16,23,.718964371,13.90,0
10MB,16,24,.718060909,13.92,0
10MB,16,25,.718738824,13.91,0
10MB,16,26,.717141253,13.94,0
10MB,16,27,.718327300,13.92,0
10MB,16,28,.716606446,13.95,0
10MB,16,29,.715058076,13.98,0
10MB,16,30,.717152009,13.94,0
10MB,16,31,.717066596,13.94,0
10MB,16,32,.716172090,13.96,0
10MB,16,33,.716540668,13.95,0
10MB,16,34,.715260179,13.98,0
10MB,16,35,.716799230,13.95,0
10MB,16,36,1.216771846,8.21,0
10MB,16,37,.719630494,13.89,0
10MB,16,38,1.219723532,8.19,0
10MB,16,39,1.216771480,8.21,0
10MB,16,40,.716508551,13.95,0
10MB,16,41,1.218775616,8.20,0
10MB,16,42,1.218688539,8.20,0
10MB,16,43,.717411724,13.93,0
10MB,16,44,.717270717,13.94,0
10MB,16,45,.719336505,13.90,0
10MB,16,46,.717517455,13.93,0
10MB,16,47,.717812907,13.93,0
10MB,16,48,.718426881,13.91,0
10MB,16,49,.717835700,13.93,0
10MB,16,50,1.219681832,8.19,0
10MB,16,51,.717109148,13.94,0
10MB,16,52,1.719039795,5.81,0
10MB,16,53,.716245513,13.96,0
10MB,16,54,.715749511,13.97,0
10MB,16,55,.717997849,13.92,0
10MB,16,56,.717312684,13.94,0
10MB,16,57,.715730442,13.97,0
10MB,16,58,1.216644530,8.21,0
10MB,16,59,.715875548,13.96,0
10MB,16,60,.717317264,13.94,0
10MB,16,61,.717007066,13.94,0
10MB,16,62,.716806692,13.95,0
10MB,16,63,.715761902,13.97,0
10MB,16,64,.715734574,13.97,0
10MB,16,65,.716426053,13.95,0
10MB,16,66,.716081287,13.96,0
10MB,16,67,.715152105,13.98,0
10MB,16,68,.716777077,13.95,0
10MB,16,69,.716605171,13.95,0
10MB,16,70,.715874085,13.96,0
10MB,16,71,.715686506,13.97,0
10MB,16,72,1.217547246,8.21,0
10MB,16,73,.716350931,13.95,0
10MB,16,74,.716130298,13.96,0
10MB,16,75,1.218786203,8.20,0
10MB,16,76,.715413871,13.97,0
10MB,16,77,1.216948316,8.21,0
10MB,16,78,.817241150,12.23,0
10MB,16,79,.717058401,13.94,0
10MB,16,80,.716271920,13.96,0
10MB,16,81,.717267107,13.94,0
10MB,16,82,.716740990,13.95,0
10MB,16,83,.717633883,13.93,0
10MB,16,84,.717858469,13.93,0
10MB,16,85,.717474851,13.93,0
10MB,16,86,.716587298,13.95,0
10MB,16,87,.717244274,13.94,0
10MB,16,88,.716406896,13.95,0
10MB,16,89,.717212586,13.94,0
10MB,16,90,.716304281,13.96,0
10MB,16,91,.717608244,13.93,0
10MB,16,92,.717002586,13.94,0
10MB,16,93,.722179479,13.84,0
10MB,16,94,.718937533,13.90,0
10MB,16,95,.717380834,13.93,0
10MB,16,96,.715706618,13.97,0
10MB,16,97,.718015789,13.92,0
10MB,16,98,.717624647,13.93,0
10MB,16,99,.717520319,13.93,0
10MB,16,100,.715378907,13.97,0
